 502 K00707.02  4.20 0.15
 503 K00707.03  3.80 0.14
 504 K00707.04  3.02 0.11
 505 K00707.05  1.97 0.08
 506 K00708.01  4.24 0.18
 507 K00708.02  3.01 0.13
 508 K00709.01  2.40 0.05
 509 K00711.01  3.34 0.08
 510 K00711.02  1.66 0.04
 511 K00711.03  3.03 0.07
 512 K00714.01  2.68 0.05
 513 K00717.01  2.13 0.06
 514 K00717.02  0.85 0.04
 515 K00718.01  2.50 0.06
 516 K00718.02  3.06 0.08
 517 K00718.03  2.48 0.07
 518 K00719.01  1.78 0.03
 519 K00719.02  1.03 0.03
 520 K00719.03  1.41 0.03
 521 K00719.04  0.94 0.02
 522 K00720.01  3.15 0.07
 523 K00720.02  2.83 0.08
 524 K00720.03  2.87 0.10
 525 K00720.04  1.66 0.07
 526 K00721.01  3.05 0.11
 527 K00722.01  2.89 0.10
 528 K00723.01  3.17 0.07
 529 K00723.02  3.82 0.08
 530 K00723.03  3.98 0.09
 531 K00730.01  4.84 0.60
 532 K00730.02  3.62 0.46
 533 K00730.03  4.16 0.53
 534 K00730.04  3.24 0.41
 535 K00732.01  3.13 0.07
 536 K00732.02  1.11 0.07
 537 K00732.03  1.21 0.06
 538 K00733.01  3.04 0.07
 539 K00733.02  2.68 0.07
 540 K00733.03  1.58 0.05
 541 K00733.04  2.16 0.09
 542 K00734.01  5.02 0.30
 543 K00734.02  4.14 0.36
 544 K00738.01  2.77 0.07
 545 K00738.02  2.60 0.06
 546 K00749.01  2.77 0.07
 547 K00749.02  1.83 0.06
 548 K00749.03  1.41 0.06
 549 K00752.01  2.54 0.07
 550 K00752.02  3.03 0.09
 551 K00756.01  4.86 0.34
 552 K00756.02  3.27 0.24
 553 K00756.03  1.88 0.19
 554 K00757.01  5.44 0.13
 555 K00757.02  3.65 0.09
 556 K00757.03  2.50 0.06
 557 K00759.01  3.62 0.07
 558 K00759.02  2.18 0.07
 559 K00760.01 11.23 0.36
 560 K00800.01  3.87 0.23
 561 K00800.02  4.12 0.25
 562 K00806.01  9.43 0.21
 563 K00806.02 13.06 0.29
 564 K00825.01  2.45 0.07
 565 K00825.02  1.68 0.06
 566 K00829.01  3.55 0.11
 567 K00829.02  2.42 0.08
 568 K00829.03  3.74 0.12
 569 K00834.01 10.18 0.77
 570 K00834.02  3.96 0.31
 571 K00834.03  2.97 0.24
 572 K00834.04  1.90 0.17
 573 K00834.05  3.39 0.31
 574 K00835.01  2.70 0.07
 575 K00835.02  2.46 0.09
 576 K00837.01  2.47 0.08
 577 K00837.02  1.66 0.07
 578 K00841.01  4.65 0.15
 579 K00841.02  5.97 0.19
 580 K00841.03  2.15 0.08
 581 K00853.01  2.36 0.05
 582 K00853.02  1.88 0.05
 583 K00857.01  2.74 0.06
 584 K00857.02  1.86 0.14
 585 K00864.01  3.21 0.07
 586 K00864.02  2.74 0.07
 587 K00864.03  2.26 0.08
 588 K00869.01  2.91 0.09
 589 K00869.02  3.45 0.10
 590 K00869.03  2.48 0.09
 591 K00869.04  1.92 0.06
 592 K00870.01  2.09 0.05
 593 K00870.02  2.00 0.05
 594 K00872.01  7.68 0.19
 595 K00872.02  1.89 0.06
 596 K00874.01  2.31 0.06
 597 K00874.02  1.58 0.05
 598 K00880.01  3.97 0.11
 599 K00880.02  5.58 0.15
 600 K00880.03  2.45 0.07
 601 K00880.04  1.83 0.05
 602 K00881.01  3.36 0.09
 603 K00881.02  4.47 0.12
 604 K00884.01  4.86 0.15
 605 K00884.03  2.00 0.07
 606 K00889.01 13.27 0.35
 607 K00892.01  2.82 0.09
 608 K00892.02  1.38 0.07
 609 K00896.01  4.23 0.12
 610 K00896.02  3.03 0.09
 611 K00896.03  1.55 0.08
 612 K00906.01  2.42 0.07
 613 K00906.02  2.27 0.08
 614 K00906.03  1.09 0.06
 615 K00907.01  2.75 0.07
 616 K00907.02  2.80 0.07
 617 K00907.03  1.39 0.05
 618 K00907.04  2.72 0.09
 619 K00918.01 11.08 0.20
 620 K00921.01  2.96 0.08
 621 K00921.02  3.45 0.10
 622 K00921.03  1.83 0.06
 623 K00934.01  3.91 0.09
 624 K00934.02  2.46 0.08
 625 K00934.03  2.81 0.09
 626 K00939.01  1.81 0.06
 627 K00939.02  1.79 0.06
 628 K00939.03  1.36 0.05
 629 K00939.04  1.89 0.07
 630 K00941.01  4.21 0.13
 631 K00941.02  2.32 0.08
 632 K00941.03  4.28 0.14
 633 K00954.01  2.88 0.07
 634 K00954.02  2.99 0.08
 635 K00958.01  2.78 0.05
 636 K00974.01  2.94 0.19
 637 K00975.01  1.77 0.08
 638 K00986.01  2.34 0.06
 639 K00986.02  2.17 0.08
 640 K00987.01  1.44 0.03
 641 K00988.01  2.34 0.05
 642 K00988.02  2.29 0.06
 643 K00991.01  1.63 0.04
 644 K00993.01  1.71 0.05
 645 K00993.02  1.40 0.05
 646 K00999.01  2.86 0.08
 647 K00999.02  2.39 0.11
 648 K01001.01  3.93 0.24
 649 K01001.02  3.63 0.23
 650 K01015.01  3.60 0.15
 651 K01015.02  1.90 0.09
 652 K01015.03  2.27 0.15
 653 K01050.01  1.68 0.04
 654 K01050.02  1.52 0.04
 655 K01052.01  2.55 0.08
 656 K01052.02  1.68 0.07
 657 K01052.03  2.41 0.10
 658 K01052.04  2.27 0.12
 659 K01069.01  3.11 0.08
 660 K01069.02  1.66 0.05
 661 K01089.01 10.95 0.32
 662 K01089.02  5.18 0.16
 663 K01102.01  2.86 0.28
 664 K01102.02  2.61 0.26
 665 K01102.03  2.56 0.26
 666 K01102.04  1.63 0.17
 667 K01113.01  2.81 0.09
 668 K01113.02  3.10 0.10
 669 K01115.01  3.28 0.13
 670 K01116.01  1.55 0.04
 671 K01118.01  2.12 0.09
 672 K01127.01  4.53 0.51
 673 K01127.02  2.74 0.40
 674 K01127.03  2.36 0.34
 675 K01128.01  1.29 0.02
 676 K01145.01  2.60 0.08
 677 K01148.01  1.85 0.07
 678 K01148.02  1.53 0.07
 679 K01151.01  1.35 0.03
 680 K01151.02  1.04 0.03
 681 K01151.03  0.73 0.03
 682 K01151.04  0.83 0.04
 683 K01151.05  0.87 0.04
 684 K01161.01  2.65 0.08
 685 K01161.02  2.78 0.09
 686 K01161.03  2.07 0.07
 687 K01162.01  3.66 0.09
 688 K01163.01  1.61 0.04
 689 K01163.02  1.63 0.05
 690 K01165.01  2.13 0.05
 691 K01165.02  0.74 0.04
 692 K01169.01  1.61 0.03
 693 K01175.01  3.76 0.25
 694 K01175.02  3.28 0.22
 695 K01196.02  2.38 0.10
 696 K01196.03  2.55 0.14
 697 K01199.01  2.54 0.07
 698 K01203.01  3.02 0.10
 699 K01203.02  2.51 0.09
 700 K01203.03  2.54 0.14
 701 K01215.01  3.00 0.13
 702 K01215.02  3.22 0.14
 703 K01216.01  2.67 0.11
 704 K01218.01  2.01 0.05
 705 K01220.01  3.09 0.17
 706 K01221.01  4.17 0.28
 707 K01221.02  3.74 0.25
 708 K01239.01  1.61 0.04
 709 K01239.02  1.66 0.05
 710 K01240.01  1.75 0.05
 711 K01240.02  2.28 0.07
 712 K01242.01  7.96 0.28
 713 K01270.01  2.65 0.07
 714 K01270.02  1.99 0.06
 715 K01271.01 12.37 0.74
 716 K01275.01  4.38 0.11
 717 K01276.01  2.65 0.07
 718 K01276.02  1.50 0.06
 719 K01278.01  3.12 0.11
 720 K01278.02  3.51 0.13
 721 K01278.03  1.48 0.08
 722 K01278.04  1.59 0.08
 723 K01279.01  2.13 0.05
 724 K01279.02  1.18 0.04
 725 K01282.01  2.87 0.15
 726 K01283.01  1.40 0.05
 727 K01288.01 12.12 0.42
 728 K01299.01 13.47 1.19
 729 K01300.01  1.61 0.04
 730 K01301.01  2.34 0.07
 731 K01301.02  2.54 0.07
 732 K01305.01  1.53 0.05
 733 K01305.02  1.35 0.06
 734 K01306.01  1.36 0.06
 735 K01306.02  1.46 0.06
 736 K01306.03  1.48 0.07
 737 K01306.04  1.85 0.09
 738 K01307.01  2.80 0.08
 739 K01307.02  2.38 0.07
 740 K01308.01  3.32 0.11
 741 K01311.01  2.96 0.08
 742 K01314.01  5.04 0.41
 743 K01315.01  1.60 0.05
 744 K01316.01  1.52 0.06
 745 K01332.01  3.11 0.09
 746 K01332.02  1.72 0.07
 747 K01332.03  2.84 0.11
 748 K01335.01  9.04 0.76
 749 K01336.01  2.29 0.08
 750 K01336.02  2.35 0.08
 751 K01336.03  2.55 0.10
 752 K01336.04  1.49 0.07
 753 K01338.01  1.63 0.05
 754 K01338.02  1.75 0.07
 755 K01338.03  1.37 0.08
 756 K01344.01  1.63 0.07
 757 K01353.01 12.33 0.26
 758 K01353.02  2.30 0.07
 759 K01353.03  2.75 0.16
 760 K01359.01  3.94 0.10
 761 K01359.02  6.70 0.17
 762 K01360.01  2.75 0.07
 763 K01360.02  2.16 0.06
 764 K01360.03  0.85 0.05
 765 K01363.01  2.80 0.22
 766 K01363.02  2.59 0.25
 767 K01364.01  2.54 0.08
 768 K01364.02  2.38 0.07
 769 K01364.03  2.38 0.07
 770 K01364.04  1.63 0.06
 771 K01364.05  1.47 0.06
 772 K01366.01  2.90 0.07
 773 K01366.02  3.07 0.08
 774 K01367.01  1.44 0.03
