koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
1436,11389771.0,23.8,a18,2.0,23.8,22.69,22.66,20.81
1438,11193263.0,12.03,a18,2.0,12.03,,10.99,
1439,11027624.0,,,1.0,24.04,17.83,17.91,
1442,11600889.0,26.34,a18,2.0,26.34,,43.9,
1444,11043167.0,,,1.0,15.64,,51.84,
1445,11336883.0,5.48,a18,2.0,5.48,5.27,5.3,5.13
1463,7672940.0,,,0.0,22.49,,11.91,
1466,9512981.0,,,1.0,19.98,,26.58,34.8
1474,12365184.0,8.73,a18,2.0,8.73,4.49,4.53,
1477,7811397.0,22.56,a18,3.0,22.56,21.96,21.99,24.55
1478,12403119.0,33.09,a18,2.0,33.09,,66.84,
1480,7512982.0,27.16,a18,2.0,27.16,26.76,26.85,28.25
1483,11909686.0,,,0.0,,,,
1486,7898352.0,,,1.0,13.64,,12.08,
1528,7691260.0,32.7,a18,2.0,32.7,,36.06,31.18
1529,9821454.0,,,1.0,,,60.34,
1530,11954842.0,,,1.0,35.96,,56.25,
1531,11764462.0,23.41,a18,3.0,23.41,22.99,22.88,25.38
1532,11656246.0,10.33,m15,2.0,,,10.33,
1533,7808587.0,,,1.0,21.95,,76.05,
1534,4741126.0,,,1.0,,,48.14,
1535,11669125.0,,,1.0,22.37,,14.93,
1536,12159249.0,18.84,a18,2.0,18.84,,18.74,
1537,9872292.0,12.6,a18,3.0,12.6,12.78,12.63,12.71
1557,5371776.0,14.45,a18,3.0,14.45,14.18,14.16,
1563,5219234.0,34.5,a18,2.0,34.5,,14.3,
1567,5438099.0,16.01,a18,2.0,16.01,,14.61,
1576,,,,0.0,,,,
1581,7939330.0,,,1.0,,,23.72,
1596,10027323.0,,,1.0,,,44.05,
1598,10004738.0,24.74,m15,2.0,,,24.74,
1601,5438757.0,,,1.0,,,41.73,
1606,9886661.0,32.22,a18,2.0,32.22,,32.71,
1608,10055126.0,,,1.0,22.41,,64.68,
1609,5009743.0,,,1.0,15.54,,55.82,
1612,10963065.0,12.89,a18,3.0,12.89,12.44,12.41,
1615,4278221.0,7.88,a18,3.0,7.88,7.73,7.73,
1616,9015738.0,11.78,a18,3.0,11.78,11.59,11.64,
1618,7215603.0,,,1.0,23.47,7.09,7.13,
1621,5561278.0,17.69,a18,2.0,17.69,18.45,18.26,18.28
