 1436140 25.385 0.084 2051719556779467520 292.221 0.057 37.097 0.060   17.680          9.895   2.250 1.755 1.488 5003.314  6.357 0.004
 1569682 17.354 0.222 2051023772076110336 290.585 0.029 37.164 0.031   10.039  3.660  10.739   2.560 1.760 0.529 3919.620  8.146 0.010
 1570026 22.514 0.217 2051022599545802496 290.661 0.020 37.128 0.023   25.781  0.467  15.104   4.380 1.778 3.148 5830.070  2.793 0.001
 1570150  1.894 0.004 2051023016161912064 290.684 0.019 37.140 0.021   -0.108          5.530   0.900 1.731 0.163 6293.817  4.166 0.044
 1570191 18.647 0.201 2051023359759323136 290.696 0.018 37.179 0.021  -44.719  3.845  17.710   5.628 1.787 1.152 5894.036  3.270 0.002
 1570349  0.585 0.003 2051010921534018304 290.733 0.015 37.108 0.017  -25.517         17.264   5.406 1.786 0.042 6026.374  3.891 0.002
 1570466  8.637 0.019 2051011299491172096 290.758 0.017 37.143 0.020   26.347  3.650   8.337   1.718 1.747 0.528 6299.856  1.972 0.005
 1570529 19.862 0.230 2051016968848014848 290.775 0.022 37.149 0.022   21.097  3.487   9.124   1.980 1.752 0.978 5678.204  5.016 0.010
 1570915 12.315 0.163 2051016419092260096 290.862 0.015 37.155 0.017    0.574          7.344   1.407 1.742 0.351 4133.771  6.797 0.022
 1570924  3.234 0.008 2051015972415644672 290.864 0.026 37.126 0.028   -8.161  1.422  10.804   2.584 1.760 0.146 4816.864  6.112 0.006
 1571003  9.726 0.066 2051016797049427968 290.885 0.014 37.196 0.021   -1.642          4.399   0.627 1.723 0.466 4850.494  6.312 0.044
 1571364 20.449 0.132 2051014804184829952 290.964 0.016 37.153 0.022   26.254          7.983   1.604 1.745 0.744 4443.231  6.907 0.010
 1572433 33.064 1.612 2051763709044322816 291.208 0.018 37.138 0.021   -1.366  3.380  15.574   4.597 1.780 1.427 4572.234  6.521 0.005
 1572558  3.995 0.026 2051764052641296384 291.238 0.013 37.149 0.016   -1.168         10.104   2.325 1.756 0.308 5991.946  4.249 0.014
 1572802  0.374 0.004 2051762643892078080 291.296 0.021 37.156 0.025   11.692         10.836   2.596 1.760 0.011 3975.970  7.889 0.008
 1572895 26.052 0.314 2051762472093410304 291.317 0.011 37.163 0.013  -16.395  0.324  12.484   3.244 1.767 2.091 5899.143  4.434 0.005
 1573478 18.018 0.240 2051750205666895872 291.431 0.025 37.152 0.033   10.079         13.530   3.683 1.772 0.670 4426.437  6.017 0.007
 1573742  8.613 0.026 2051749106155272704 291.484 0.012 37.101 0.015   -7.961          9.593   2.143 1.754 0.592 6457.821  4.047 0.011
 1574944 17.665 0.055 2051752610848750336 291.730 0.020 37.116 0.027    7.747          7.627   1.493 1.743 0.918 4863.265  6.221 0.011
 1575580 15.968 0.671 2051729624182562304 291.861 0.021 37.171 0.029   10.453  0.112   8.178   1.667 1.747 1.130 5780.570  4.656 0.013
 1576108 22.556 0.087 2051726050769851136 291.973 0.014 37.156 0.020  -15.416  3.236  18.835   6.201 1.791 1.782 5807.352  4.839 0.006
 1576796 10.924 0.013 2051726669245244416 292.110 0.012 37.141 0.016    1.975  3.093  21.232   7.489 1.798 0.880 5930.084  3.670 0.004
 1576970 22.296 0.344 2051726806684252672 292.146 0.032 37.168 0.038   -5.376         11.102   2.697 1.761 1.732 5485.616  4.860 0.011
 1577315 17.981 0.140 2051720828089848064 292.212 0.026 37.183 0.025   -9.206  3.168   9.643   2.160 1.754 0.826 5329.657  5.614 0.013
 1717515 29.251 4.049 2051027208049976320 290.573 0.014 37.228 0.018   -1.702         11.960   3.033 1.765 1.514 5008.865  5.873 0.005
 1717999 29.431 0.401 2051024287472276736 290.684 0.024 37.225 0.029   12.953  3.495  15.013   4.339 1.778 1.247 4958.801  6.090 0.006
 1718071 21.712 0.202 2051030197347552000 290.706 0.026 37.248 0.030   20.049  3.447  12.369   3.197 1.767 0.604 3985.046  8.001 0.006
 1718354  1.620 0.004 2051030781462923520 290.768 0.014 37.292 0.016   -4.143         15.041   4.351 1.778 0.168 7118.559  2.524 0.010
 1718367 16.385 0.076 2051029613231783936 290.771 0.024 37.236 0.027  -10.413  3.442   8.302   1.706 1.747 0.750 5059.480  5.893 0.013
 1718401  6.980 0.247 2051029956829203200 290.781 0.017 37.277 0.022   -2.491  0.342   9.213   2.010 1.752 0.520 6505.092  3.894 0.011
 1718520  5.613 0.005 2051017827841550336 290.812 0.011 37.233 0.014  -13.024         13.913   3.849 1.773 0.501 5963.017  3.462 0.002
 1718828 22.069 0.408 2051019305310376448 290.890 0.016 37.259 0.023   -1.754  0.283   6.197   1.077 1.735 1.615 6553.798  3.360 0.008
 1718985 13.941 0.110 2051018205798742528 290.925 0.015 37.211 0.021   22.547  3.398   9.182   2.000 1.752 0.929 6068.472  4.081 0.008
 1719166 17.815 0.144 2051018996072807936 290.974 0.025 37.292 0.033   21.867  3.525  11.016   2.664 1.761 0.610 4884.768  6.110 0.007
 1719358 13.643 0.028 2052517011944900864 291.022 0.021 37.277 0.026   -6.034          9.048   1.954 1.751 0.664 5010.689  6.118 0.026
 1719697  5.597 0.044 2052515667615728128 291.107 0.021 37.203 0.027   -5.797  3.341   9.877   2.243 1.755 0.344 6220.398  4.177 0.012
 1719974 14.064 0.118 2052517802218988032 291.177 0.027 37.286 0.032   -5.624  0.359  10.031   2.299 1.756 1.157 6374.248  3.258 0.010
